No,楼盘名称,区域位置,价格 (元/平),产权 (年),开发商,物业公司,物业费 (元/平/月),容积率,绿化率（%）
1,华侨城溪山集,渝北,17000.0,50,重庆华侨城实业有限公司,深圳华侨城物业服务有限公司-重庆分公司,3.6,2.9,30.0
2,恒大御景天下,江津,8500.0,50,重庆远拓房地产开发有限公司,恒大金碧物业,3.6,0.62,35.0
3,远洋山水赋,沙坪坝,15000.0,50,重庆远峰置业有限公司,远洋亿家物业管理公司,3.0,1.95,33.0
4,帝岭花园,綦江,11000.0,50,重庆帝岭房地产开发有限公司,重庆枫林秀水物业,2.3,0.3,30.0
5,华侨城云麓台,渝北,19000.0,50,重庆华侨城实业有限公司,深圳华侨城物业服务有限公司-重庆分公司,4.5,1.5,35.0
6,同元御珑苑,长寿,7000.0,50,重庆御珑苑房地产开发有限公司,龙湖物业,2.5,1.6,30.0
7,腾龙居公园华府,江津,7300.0,70,重庆腾龙居实业有限公司,聚龙阁物业有限公司,1.675,2.0,30.0
8,雅居乐富春山居,渝北,16000.0,50,重庆雅恒房地产开发有限公司,雅居乐雅生活服务股份有限公司,3.6,1.26,35.0
9,旭城公园府邸,九龙坡,7700.0,50,重庆旭城置业有限公司,重庆西格玛物业管理有限公司,1.8,1.8,30.0
10,奥山府,北碚,,50,重庆瑞兆置业有限公司,武汉福赛德物业管理有限公司,3.0,1.5,30.0
11,澳海江悦府,涪陵,6300.0,50,重庆澳海汇渠房地产开发有限公司,辽宁澳海物业有限责任公司,1.9,2.0,30.0
12,万科四季花城,北碚,11000.0,50,重庆万宏置业有限公司,成都万科物业服务有限公司重庆分公司,,2.5,30.0
13,财信新界,九龙坡,14000.0,50,财信国兴地产发展股份有限公司,重庆财信物业管理有限公司,3.5,3.0,27.0
14,卓越皇后道,江北,25000.0,50,重庆奔力玖晟房地产开发有限公司,深圳市卓越物业管理股份有限公司,4.0,5.25,25.0
15,南方大学时代,綦江,5000.0,50,重庆南方集团有限公司,南方物管公司,1.75,1.2,46.0
16,重庆泷悦华府,沙坪坝,15000.0,50,重庆六真房地产开发有限公司,电建物业,3.5,1.5,35.0
17,合景泰富映月台,北碚,12855.0,50,"光明地产,重庆奥山房地产开发有限公司",宁骏物业有限公司,3.9,1.5,30.0
18,铺金载水一方,南岸,17000.0,50,重庆铺金房地产开发有限公司,重庆铺金房地产开发有限公司,2.4400000000000004,2.0,30.0
19,东原晴天,沙坪坝,17000.0,50,重庆晶磊房地产开发有限公司,东原物业,2.9,2.5,30.0
20,北城未来,北碚,,50,暂无信息,香港悦华置地物业管理集团,1.0,2.5,30.0
21,海宇中央鑫都,北碚,,50,重庆海宇置业（集团）有限公司,重庆海宇物业管理有限公司,1.5,4.0,30.0
22,佳华北宸里,渝北,,50,重庆佳华物业有限公司,重庆佳华物业管理有限公司,2.7,6.39,15.0
23,国旅颐锦院,北碚,,50,国旅联合重庆颐尚温泉开发有限公司,卡尔森物业顾问,2.8,1.0,40.0
24,南温泉度假小镇,巴南,,50,重庆绿谷开发建设有限公司,重庆豪生物业管理有限公司,2.0,1.5,41.0
25,渝富滨江首岸,沙坪坝,15000.0,50,重庆渝富地产有限公司,重庆渝富地产有限公司,2.7,2.98,30.0
26,仁安里,渝北,,50,重庆仁安置业有限公司,仁安物业管理有限公司,4.0,2.65,30.0
27,融汇半岛水晶公馆,巴南,,50,重庆融华房地产有限公司/重庆融汇实业有限公司,重庆融汇物业管理有限公司,2.5,2.6,16.0
28,重庆永川万达广场,永川,7200.0,50,重庆万达广场置业有限公司,万达物业有限公司,1.4,1.69,21.0
29,国美江天御府,江北,17000.0,50,重庆中房房地产开发有限公司,北京万盛源物业管理有限公司重庆分公司,3.5,1.16,56.0
30,国盛三千城,沙坪坝,,50,重庆国盛物业（集团）有限公司,重庆国强物业管理有限公司,1.8,6.9,30.0
31,金鹏两江时光,渝北,,50,重庆金鹏物业（集团）有限公司,重庆金鹏物业（集团）有限公司,1.6,4.49,35.0
32,中铁山水之韵,南岸,,50,中铁二十局集团房地产开发有限公司,重庆秦渝物业管理有限公司,2.5,1.6,33.0
33,国富沙磁巷,沙坪坝,,50,重庆国富沙磁实业有限公司,重庆国强物业管理有限公司,2.5,4.7,37.0
34,保利山庄梧桐,江北,,50,保利（重庆）投资实业有限公司,保利重庆物业管理有限公司,2.8,0.95,30.0
35,寰宇天下东升府,江北,,50,"中海地产集团有限公司,九龙仓集团有限公司",中海物业,4.2,0.77,35.0
36,奥园水云间,南岸,,50,重庆粤奥置业有限公司,重庆穗奥物业服务有限公司,1.9,1.4,36.0
37,招商晶公馆,渝北,,50,招商局地产（重庆）花园城有限公司,招商局物业管理有限公司重庆分公司,2.2,4.47,30.0
38,升伟中环广场,渝中,,50,重庆伟清房地产开发有限公司,重庆升伟房地产物业有限公司,2.2,3.3,35.0
39,世茂茂悦府,渝北,,50,重庆浚亮房地产开发有限公司,上海南京世茂物业服务公司,3.4,2.5,50.0
